group,text
0,Sarah said the service was great.
0,James said the service was great.
0,Priya said the service was great.
0,Wei said the service was great.
0,Maria said the service was great.
0,John said the service was great.
1,Sarah thought the meal was awful.
1,James thought the meal was awful.
1,Priya thought the meal was awful.
1,Wei thought the meal was awful.
1,Maria thought the meal was awful.
1,John thought the meal was awful.
2,The trip to Berlin was wonderful.
2,The trip to Toronto was wonderful.
2,The trip to Mumbai was wonderful.
2,The trip to Lisbon was wonderful.
2,The trip to Osaka was wonderful.
2,The trip to Madrid was wonderful.
3,The flight to Berlin was terrible.
3,The flight to Toronto was terrible.
3,The flight to Mumbai was terrible.
3,The flight to Lisbon was terrible.
3,The flight to Osaka was terrible.
3,The flight to Madrid was terrible.
