group,base,perturbed
0,The service was great.,The service was great. @pi9QDK
0,The service was great.,The service was great. https://t.co/PWK1jb
0,The service was great.,The service was great. It is Tuesday.
0,The service was great.,The service was great. My order id is 90218.
1,The flight was terrible.,The flight was terrible. @pi9QDK
1,The flight was terrible.,The flight was terrible. https://t.co/PWK1jb
1,The flight was terrible.,The flight was terrible. It is Tuesday.
1,The flight was terrible.,The flight was terrible. My order id is 90218.
2,The meal was wonderful.,The meal was wonderful. @pi9QDK
2,The meal was wonderful.,The meal was wonderful. https://t.co/PWK1jb
2,The meal was wonderful.,The meal was wonderful. It is Tuesday.
2,The meal was wonderful.,The meal was wonderful. My order id is 90218.
3,The room was awful.,The room was awful. @pi9QDK
3,The room was awful.,The room was awful. https://t.co/PWK1jb
3,The room was awful.,The room was awful. It is Tuesday.
3,The room was awful.,The room was awful. My order id is 90218.
4,The trip was excellent.,The trip was excellent. @pi9QDK
4,The trip was excellent.,The trip was excellent. https://t.co/PWK1jb
4,The trip was excellent.,The trip was excellent. It is Tuesday.
4,The trip was excellent.,The trip was excellent. My order id is 90218.
5,The product was disappointing.,The product was disappointing. @pi9QDK
5,The product was disappointing.,The product was disappointing. https://t.co/PWK1jb
5,The product was disappointing.,The product was disappointing. It is Tuesday.
5,The product was disappointing.,The product was disappointing. My order id is 90218.
